date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:02:40	67/67	---MCZ	200	added ('OK')	text/plain	date:Mon,%2022%20Jan%202018%2006:02:36%20GMT	https://sites.google.com/robots.txt		(from )
01:02:40	116478/116478	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jan%202018%2006:02:36%20GMT	https://sites.google.com/view/andoverphilo/	C:/My%20Web%20Sites/Philo%20Website/sites.google.com/view/andoverphilo/index.html	(from )
01:02:40	297036/297036	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Apr%202016%2003:17:22%20GMT	https://ssl.gstatic.com/atari/images/simple-header-blended-small.png	C:/My%20Web%20Sites/Philo%20Website/ssl.gstatic.com/atari/images/simple-header-blended-small.png	(from https://sites.google.com/view/andoverphilo/)
01:02:40	12515/12515	---MC-	200	added ('OK')	application/javascript	date:Mon,%2022%20Jan%202018%2006:02:37%20GMT	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/My%20Web%20Sites/Philo%20Website/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/andoverphilo/)
01:02:41	35943/35943	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202017%2020:19:12%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Philo%20Website/www.google-analytics.com/analytics.js	(from https://sites.google.com/view/andoverphilo/)
01:02:41	116490/116490	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jan%202018%2006:02:38%20GMT	https://sites.google.com/view/andoverphilo/home	C:/My%20Web%20Sites/Philo%20Website/sites.google.com/view/andoverphilo/home.html	(from https://sites.google.com/view/andoverphilo/)
01:02:42	111059/111059	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jan%202018%2006:02:38%20GMT	https://sites.google.com/view/andoverphilo/curriculum	C:/My%20Web%20Sites/Philo%20Website/sites.google.com/view/andoverphilo/curriculum.html	(from https://sites.google.com/view/andoverphilo/)
01:02:42	113469/113469	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jan%202018%2006:02:39%20GMT	https://sites.google.com/view/andoverphilo/curriculum/case-construction	C:/My%20Web%20Sites/Philo%20Website/sites.google.com/view/andoverphilo/curriculum/case-construction.html	(from https://sites.google.com/view/andoverphilo/)
01:02:42	114350/114350	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jan%202018%2006:02:39%20GMT	https://sites.google.com/view/andoverphilo/curriculum/case-construction/contentions	C:/My%20Web%20Sites/Philo%20Website/sites.google.com/view/andoverphilo/curriculum/case-construction/contentions.html	(from https://sites.google.com/view/andoverphilo/)
01:02:43	112321/112321	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jan%202018%2006:02:40%20GMT	https://sites.google.com/view/andoverphilo/curriculum/case-construction/significance	C:/My%20Web%20Sites/Philo%20Website/sites.google.com/view/andoverphilo/curriculum/case-construction/significance.html	(from https://sites.google.com/view/andoverphilo/)
01:02:43	114274/114274	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jan%202018%2006:02:40%20GMT	https://sites.google.com/view/andoverphilo/curriculum/case-construction/impact-weighing	C:/My%20Web%20Sites/Philo%20Website/sites.google.com/view/andoverphilo/curriculum/case-construction/impact-weighing.html	(from https://sites.google.com/view/andoverphilo/)
01:02:44	110957/110957	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jan%202018%2006:02:40%20GMT	https://sites.google.com/view/andoverphilo/curriculum/refutation	C:/My%20Web%20Sites/Philo%20Website/sites.google.com/view/andoverphilo/curriculum/refutation.html	(from https://sites.google.com/view/andoverphilo/)
01:02:44	111863/111863	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jan%202018%2006:02:41%20GMT	https://sites.google.com/view/andoverphilo/curriculum/refutation/using-your-case-to-take-out-your-opponents-argument	C:/My%20Web%20Sites/Philo%20Website/sites.google.com/view/andoverphilo/curriculum/refutation/using-your-case-to-take-out-your-opponents-argument.html	(from https://sites.google.com/view/andoverphilo/)
01:02:45	114399/114399	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jan%202018%2006:02:41%20GMT	https://sites.google.com/view/andoverphilo/curriculum/refutation/finding-points-of-clash	C:/My%20Web%20Sites/Philo%20Website/sites.google.com/view/andoverphilo/curriculum/refutation/finding-points-of-clash.html	(from https://sites.google.com/view/andoverphilo/)
01:02:45	115654/115654	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jan%202018%2006:02:42%20GMT	https://sites.google.com/view/andoverphilo/curriculum/refutation/attacking-their-logic	C:/My%20Web%20Sites/Philo%20Website/sites.google.com/view/andoverphilo/curriculum/refutation/attacking-their-logic.html	(from https://sites.google.com/view/andoverphilo/)
